positiv,komparativ,superlativ
geheuer,—,—
fantastisch,fantastischer,am fantastischsten
zirkadian,—,—
preiswürdig,preiswürdiger,am preiswürdigsten
zuckerfrei,—,—
viabel,viabler,am viabelsten
bedient,—,—
glaubwürdig,glaubwürdiger,am glaubwürdigsten
jamaikanisch,—,—
ortsfest,—,—
vergleichbar,vergleichbarer,am vergleichbarsten
marxistisch,—,—
blond,blonder,am blondesten
despektierlich,despektierlicher,am despektierlichsten
hysterisch,hysterischer,am hysterischsten
unpfändbar,—,—
scharfzüngig,scharfzüngiger,am scharfzüngigsten
phänomenologisch,—,—
unschlagbar,—,—
scherzhaft,scherzhafter,am scherzhaftesten
handwerklich,—,—
lavendelfarben,—,—
mördermäßig,—,—
direkt,direkter,am direktesten
ungehindert,ungehinderter,am ungehindertsten
spesenfrei,—,—
unfortsetzbar,—,—
aliquot,—,—
meritokratisch,—,—
handlungsutilitaristisch,—,—
innig,inniger,am innigsten
börsengehandelt,—,—
seelenvoll,seelenvoller,am seelenvollsten
asturisch,asturischer,am asturischsten
kattunen,—,—
erlebnishungrig,erlebnishungriger,am erlebnishungrigsten
supi,—,—
kreuzhohl,—,—
Badenser,—,—
ehrfürchtig,ehrfürchtiger,am ehrfürchtigsten
fischreich,fischreicher,am fischreichsten
gackerlgelb,—,—
tropfenförmig,—,—
-,-,-
ereignisarm,ereignisärmer,am ereignisärmsten
pornografisch,pornografischer,am pornografischsten
taphonomisch,—,—
weh,weher,am wehestenam wehsten
apothekenpflichtig,—,—
fünfzehnprozentig,—,—
bezeichnend,—,—
karamellfarben,—,—
eingeboren,—,—
fehlerfrei,—,—
töricht,törichter,am törichtsten
wärmestrahlend,—,—
geräuchert,—,—
kontinuierlich,kontinuierlicher,am kontinuierlichsten
dichtbebaut,—,—
hundemüde,—,—
unerwünscht,unerwünschter,am unerwünschtesten
verstört,verstörter,am verstörtesten
stellvertretend,—,—
limnologisch,—,—
musselinen,—,—
inkrementell,—,—
abergläubig,abergläubiger,am abergläubigsten
brackig,brackiger,am brackigsten
unwahrscheinlich,unwahrscheinlicher,am unwahrscheinlichsten
selbstverliebt,selbstverliebter,am selbstverliebtesten
massentauglich,massentauglicher,am massentauglichsten
historisch,historischer,am historischsten
amoralisch,amoralischer,am amoralischsten
präkolumbisch,—,—
zeitgemäß,zeitgemäßer,am zeitgemäßesten
vogelfrei,—,—
behämmert,behämmerter,am behämmertestenam behämmertsten
gramnegativ,—,—
invasiv,invasiver,am invasivsten
restlos,—,—
wesenhaft,wesenhafter,am wesenhaftesten
autokatalytisch,—,—
königstreu,königstreuer,am königstreuestenam königstreusten
nikotinarm,nikotinärmer,am nikotinärmsten
genialisch,genialischer,am genialischsten
extra-temporal,—,—
protestantisch,protestantischer,am protestantischsten
vigilant,vigilanter,am vigilantesten
polnisch,polnischer,am polnischsten
unklagbar,—,—
sardisch,sardischer,am sardischsten
hellgestirnt,—,—
papal,—,—
vegetativ,—,—
lüdisch,—,—
15-prozentig,—,—
bindungsgestört,—,—
daumengroß,—,—
imageschädigend,imageschädigender,am imageschädigendsten
plebejisch,—,—
HDTV-tauglich,—,—
anspielungsreich,anspielungsreicher,am anspielungsreichsten
dünkelhaft,dünkelhafter,am dünkelhaftesten
lässlich,lässlicher,am lässlichsten
franquistisch,—,—
schwarzhumorig,schwarzhumoriger,am schwarzhumorigsten
planmäßig,planmäßiger,am planmäßigsten
unterernährt,—,—
schleckig,schleckiger,am schleckigsten
mordssauer,—,—
hundertundzweite,—,—
afghanisch,afghanischer,am afghanischsten
minoisch,—,—
skrofulös,skrofulöser,am skrofulösesten
organogen,—,—
verdruckst,verdruckster,am verdruckstesten
freudlos,freudloser,am freudlosesten
blaugrün,—,—
entsetzlich,entsetzlicher,am entsetzlichsten
kälbrig,—,—
glockenhell,—,—
juristisch,—,—
promiskuitiv,promiskuitiver,am promiskuitivsten
zungenförmig,—,—
unbotmäßig,—,—
viertelstündig,—,—
konsanguin,—,—
befähigt,befähigter,am befähigtsten
klobig,klobiger,am klobigsten
gefühlsmäßig,—,—
reduzibel,—,—
wiedergeboren,—,—
tilgbar,—,—
aufhaltbar,—,—
rauchgeschwängert,—,—
trocken,trockener,am trockensten
finster,finstererfinstrer,am finstersten
bezaubert,bezauberter,am bezaubertsten
fünfzehntägig,—,—
eierlegend,—,—
kreuzanständig,—,—
Bad Oeynhausener,—,—
römisch-katholisch,—,—
swasiländisch,—,—
ernst zu nehmend,—,—
bankähnlich,—,—
keilförmig,—,—
seicht,seichter,am seichtesten
pervasiv,pervasiver,am pervasivsten
inoperabel,—,—
bürgerlich,bürgerlicher,am bürgerlichsten
handelsgewerblich,—,—
algerisch,algerischer,am algerischsten
mesolithisch,—,—
spendabel,spendabler,am spendabelsten
oberflächennah,—,—
zwölfstellig,—,—
ungemütlich,ungemütlicher,am ungemütlichsten
dingfest,—,—
möbliert,—,—
lebensgefährlich,lebensgefährlicher,am lebensgefährlichsten
grünstichig,grünstichiger,am grünstichigsten
matriarchalisch,matriarchalischer,am matriarchalischsten
ambulant,—,—
selten,seltener,am seltensten
brandenburgisch,—,—
munitionsverseucht,munitionsverseuchter,am munitionsverseuchtesten
abfahrbereit,—,—
lindgrün,lindgrüner,am lindgrünsten
sekündlich,—,—
steiermärkisch,—,—
unfair,unfairer,am unfairsten
diaktin,—,—
humoristisch,humoristischer,am humoristischsten
kontaktlos,—,—
typographisch,—,—
fassbar,fassbarer,am fassbarsten
eingeschoßig,—,—
bibliografisch,—,—
karikativ,—,—
appetitlich,appetitlicher,am appetitlichsten
tröpferlweise,—,—
tatendurstig,tatendurstiger,am tatendurstigsten
giftgrün,—,—
eremitisch,eremitischer,am eremitischsten
dediziert,—,—
impardonnabel,—,—
bimanuell,—,—
lüstern,lüsterner,am lüsternsten
dysfunktional,dysfunktionaler,am dysfunktionalsten
25-minütig,—,—
pansexuell,—,—
verabscheut,verabscheuter,am verabscheutesten
hellenistisch,hellenistischer,am hellenistischsten
demografisch,—,—
saphiren,—,—
polysem,—,—
universell,universeller,am universellsten
übernatürlich,übernatürlicher,am übernatürlichsten
generisch,generischer,am generischsten
explosiv,explosiver,am explosivsten
niueanisch,—,—
autodynamisch,—,—
kälteempfindlich,kälteempfindlicher,am kälteempfindlichsten
entschieden,entschiedener,am entschiedensten
reuig,reuiger,am reuigsten
wertlos,wertloser,am wertlosesten
negoziabel,—,—
intrikat,intrikater,am intrikatesten
graublau,—,—
beifällig,beifälliger,am beifälligsten
fachmännisch,fachmännischer,am fachmännischsten
vital,vitaler,am vitalsten
stumpf,stumpfer,am stumpfsten
prädisziplinär,—,—
zellenförmig,—,—
aufbrausend,aufbrausender,am aufbrausendsten
reformbedürftig,reformbedürftiger,am reformbedürftigsten
widersprüchlich,widersprüchlicher,am widersprüchlichsten
gefragt,gefragter,am gefragtesten
konstitutionell,—,—
begabt,begabter,am begabtesten
vierrädrig,—,—
prognostizierbar,—,—
zusammengenommen,—,—
westmitteldeutsch,—,—
jugoslawisch,—,—
enzianblau,—,—
gläubig,gläubiger,am gläubigsten
blass,blasserblässer,am blassestenam blässesten
orangen,—,—
vereinslos,—,—
hurrapatriotisch,—,—
moralinsauer,—,—
schlagzeilenträchtig,—,—
plastikfrei,—,—
-,-,-
verbindlich,verbindlicher,am verbindlichsten
-,-,-
haushaltsüblich,—,—
dämonologisch,—,—
nachsichtig,nachsichtiger,am nachsichtigsten
legasthenisch,—,—
splitterfasernackt,—,—
ungestört,ungestörter,am ungestörtesten
divergent,divergenter,am divergentesten
hochrangig,höherrangig,am höchstrangig
meinungsfreudig,meinungsfreudiger,am meinungsfreudigsten
allgemeinverständlich,allgemeinverständlicher,am allgemeinverständlichsten
sechsmalig,—,—
bundesunmittelbar,—,—
besinnungslos,—,—
kiesätig,kiesätiger,am kiesätigsten
artifiziell,artifizieller,am artifiziellsten
syntaktisch,—,—
gesetzlich,—,—
ersinnlich,ersinnlicher,am ersinnlichsten
krank,kränker,am kränksten
traulich,traulicher,am traulichsten
figurativ,—,—
easy-peasy,—,—
aristotelisch,—,—
warmherzig,—,—
sündhaft,sündhafter,am sündhaftesten
polizeitaktisch,—,—
epifaszial,—,—
kalt,kälter,am kältesten
fühlbar,fühlbarer,am fühlbarsten
arbeitstäglich,—,—
y-förmig,—,—
umseitig,—,—
fermentativ,—,—
gefiedert,—,—
einprozentig,—,—
kopfrechnend,—,—
geschwungen,geschwungener,am geschwungensten
bebust,—,—
standardisiert,—,—
verschollen,—,—
unentschieden,—,—
deutschnational,deutschnationaler,am deutschnationalsten
inflammatorisch,—,—
abgemergelt,abgemergelter,am abgemergeltsten
motorbetrieben,—,—
lexikalisch,—,—
serienreif,serienreifer,am serienreifsten
unzugänglich,unzugänglicher,am unzugänglichsten
interventiv,—,—
brettleben,—,—
gürtelartig,—,—
hochgezogen,—,—
altrosa,—,—
medial,—,—
Kohle führend,—,—
beklommen,—,—
vorbehaltlich,—,—
psycholinguistisch,—,—
zerlumpt,zerlumpter,am zerlumptesten
reisetauglich,—,—
irrtümlich,irrtümlicher,am irrtümlichsten
emissionsarm,emissionsärmer,am emissionsärmsten
grenzdebil,grenzdebiler,am grenzdebilsten
ausschließlich,—,—
renovierungsbedürftig,renovierungsbedürftiger,am renovierungsbedürftigsten
welsch,—,—
gemeindlich,—,—
mittelosteuropäisch,mittelosteuropäischer,am mittelosteuropäischsten
schadstofffrei,—,—
portugiesisch,portugiesischer,am portugiesischsten
unnachgiebig,unnachgiebiger,am unnachgiebigsten
ostukrainisch,—,—
fuchtig,fuchtiger,am fuchtigsten
herrisch,herrischer,am herrischsten
drüsig,—,—
bierernst,bierernster,am bierernstesten
60-prozentig,—,—
palastartig,—,—
ursächlich,ursächlicher,am ursächlichsten
ideenarm,ideenärmer,am ideenärmsten
luftdicht,luftdichter,am luftdichtesten
haplologisch,—,—
antiinflammatorisch,—,—
schief,schiefer,am schiefsten
physisch,physischer,am physischsten
unsentimental,unsentimentaler,am unsentimentalsten
schuldbewusst,schuldbewusster,am schuldbewusstesten
derivativ,—,—
mittelbar,mittelbarer,am mittelbarsten
hypomixolydisch,—,—
adaxial,—,—
blutjung,—,—
frömmlerisch,frömmlerischer,am frömmlerischsten
marktbar,—,—
ostafrikanisch,—,—
vergangenheitsverklärend,—,—
sonderbar,sonderbarer,am sonderbarsten
jetzig,—,—
glasig,glasiger,am glasigsten
kunstbeflissen,kunstbeflissenerkunstbeflissner,am kunstbeflissensten
bedeutungsschwer,bedeutungsschwerer,am bedeutungsschwersten
vielseitig,vielseitiger,am vielseitigsten
unbeschränkt,—,—
primär,primärer,am primärsten
zornbebend,—,—
geistesgegenwärtig,geistesgegenwärtiger,am geistesgegenwärtigsten
farbenfroh,farbenfroher,am farbenfrohstenam farbenfrohesten
knöchellang,—,—
neuerlich,neuerlicher,am neuerlichsten
ausdruckslos,ausdrucksloser,am ausdruckslosesten
lausig,lausiger,am lausigsten
tombaken,—,—
reibungslos,reibungsloser,am reibungslosesten
winzig,winziger,am winzigsten
aufkeimend,—,—
rechtzeitig,—,—
wetterbestimmend,—,—
gegenreformatorisch,—,—
begründbar,begründbarer,am begründbarsten
geperlt,—,—
vielwertig,—,—
überwindbar,—,—
prismenförmig,—,—
zugänglich,zugänglicher,am zugänglichsten
tiefgreifend,tiefgreifender,am tiefgreifendsten
juwelen,—,—
goldrichtig,—,—
bleichsüchtig,—,—
animalisch,animalischer,am animalischsten
opalen,—,—
verdammt,verdammter,am verdammtesten
hyperkatalektisch,—,—
individuell,individueller,am individuellsten
schilfleinen,—,—
pink,—,—
unsozial,unsozialer,am unsozialsten
sinngebend,sinngebender,am sinngebendsten
bittersüß,bittersüßer,am bittersüßesten
hegelsch,—,—
schwindsüchtig,—,—
inadäquat,inadäquater,am inadäquatesten
biolumineszent,—,—
durchtrainiert,durchtrainierter,am durchtrainiertesten
11-minütig,—,—
paläographisch,—,—
vedisch,—,—
