positiv,komparativ,superlativ
schmiegsam,schmiegsamer,am schmiegsamsten
universal,universaler,am universalsten
polytheistisch,polytheistischer,am polytheistischsten
santomeisch,—,—
kontagiös,kontagiöser,am kontagiösesten
aufblasbar,—,—
eingeschlechtig,—,—
fassungslos,fassungsloser,am fassungslosesten
tuwinisch,—,—
appropriierbar,—,—
karibisch,karibischer,am karibischsten
bi,—,—
erethisch,erethischer,am erethischsten
gifthältig,—,—
tatarisch,—,—
ambitiös,ambitiöser,am ambitiösesten
materiell,materieller,am materiellsten
brandneu,—,—
seleukidisch,—,—
lingual,lingualer,am lingualsten
aberwitzig,aberwitziger,am aberwitzigsten
mundgerecht,mundgerechter,am mundgerechtesten
humorvoll,humorvoller,am humorvollsten
dialektisch,—,—
unfallfrei,—,—
staufisch,—,—
handelbar,—,—
bürstig,bürstiger,am bürstigsten
insektenfressend,—,—
unverdaulich,unverdaulicher,am unverdaulichsten
sehnlich,sehnlicher,am sehnlichsten
mesoamerikanisch,—,—
alezithal,—,—
hufeisenförmig,—,—
dionysisch,dionysischer,am dionysischsten
ungeniert,ungenierter,am ungeniertesten
verkopft,verkopfter,am verkopftesten
spektral,—,—
lebenslustig,lebenslustiger,am lebenslustigsten
mäzenatisch,mäzenatischer,am mäzenatischsten
interkulturell,—,—
eidetisch,—,—
fünfzigjährig,—,—
firm,firmer,am firmsten
trivalent,—,—
wollüstig,wollüstiger,am wollüstigsten
Bad Münstereifeler,—,—
gezuckert,—,—
kretazisch,—,—
ernsthaft,ernsthafter,am ernsthaftesten
praktisch,praktischer,am praktischsten
suspekt,suspekter,am suspektesten
vorlaut,vorlauter,am vorlautesten
athermisch,—,—
gasförmig,—,—
kehlig,kehliger,am kehligsten
niederschlagsreich,niederschlagsreicher,am niederschlagsreichsten
jupitergroß,—,—
glottal,—,—
entsteint,—,—
befristet,—,—
explorativ,—,—
konnotativ,—,—
viertel,—,—
strafbar,strafbarer,am strafbarsten
zurechenbar,—,—
prominent,prominenter,am prominentesten
gefühlvoll,gefühlvoller,am gefühlvollsten
aufgeschlossen,aufgeschlossener,am aufgeschlossensten
elamisch,—,—
wiedervereint,—,—
reduktionistisch,—,—
frankophon,—,—
dünnflüssig,dünnflüssiger,am dünnflüssigsten
hebräisch,hebräischer,am hebräischsten
dankenswert,dankenswerter,am dankenswertesten
mordsgefährlich,—,—
schleimig,schleimiger,am schleimigsten
untergeben,—,—
planiert,—,—
hundsgemein,hundsgemeiner,am hundsgemeinsten
blauschwarz,—,—
dreirädrig,—,—
verdächtig,verdächtiger,am verdächtigsten
organisch,—,—
sarkastisch,sarkastischer,am sarkastischsten
unkompliziert,unkomplizierter,am unkompliziertesten
polizeiähnlich,—,—
hellgrün,—,—
binnendeutsch,—,—
2-prozentig,—,—
lückenhaft,lückenhafter,am lückenhaftesten
vehement,vehementer,am vehementesten
papabile,—,—
schmachtäugig,—,—
unterqualifiziert,—,—
imbezil,—,—
dazugehörig,—,—
behutsam,behutsamer,am behutsamsten
vitaminreich,vitaminreicher,am vitaminreichsten
zeitgeschichtlich,—,—
präjudiziell,—,—
invalide,—,—
granatenvoll,—,—
nikotingelb,—,—
königlich,königlicher,am königlichsten
autographisch,—,—
wesensmäßig,—,—
restitutiv,—,—
zuverlässig,zuverlässiger,am zuverlässigsten
extragalaktisch,—,—
genießerisch,genießerischer,am genießerischsten
stenohalin,—,—
nuklearmedizinisch,—,—
zweistöckig,—,—
unerträglich,unerträglicher,am unerträglichsten
humusreich,humusreicher,am humusreichsten
dicht,dichter,am dichtesten
aberhundert,—,—
mutabel,—,—
limitiert,—,—
hanbalitisch,—,—
selbstzerstörerisch,selbstzerstörerischer,am selbstzerstörerischsten
parathym,—,—
brach,—,—
amourös,—,—
massiv,massiver,am massivsten
rosarot,—,—
tarentinisch,—,—
erdähnlich,erdähnlicher,am erdähnlichsten
gezuzelt,—,—
Bad Liebenwerdaer,—,—
kardinal,—,—
beziehbar,—,—
aposteriorisch,—,—
pyjamaartig,—,—
tückisch,tückischer,am tückischsten
federleicht,—,—
berlinfern,—,—
eingefleischt,eingefleischter,am eingefleischtesten
kontrafaktisch,—,—
kaudal,kaudaler,am kaudalsten
astrologisch,—,—
supplementär,—,—
erlaucht,erlauchter,am erlauchtesten
badisch,—,—
Krieg führend,—,—
tausendfach,—,—
tropisch,tropischer,am tropischsten
gabelförmig,—,—
fischfressend,—,—
ehrlich,ehrlicher,am ehrlichsten
mörtelähnlich,—,—
lavendel,—,—
spezialisiert,—,—
ungeheuer,ungeheurer,am ungeheuersten
diplomatisch,diplomatischer,am diplomatischsten
anal,—,—
merkantilistisch,—,—
alkoholarm,alkoholärmer,am alkoholärmsten
stichhältig,stichhältiger,am stichhältigsten
seemannssprachlich,—,—
böig,—,—
innerstaatlich,—,—
handschriftlich,—,—
blitzschnell,—,—
maschinell,maschineller,am maschinellsten
verglasend,—,—
ortsgebunden,—,—
potentiometrisch,—,—
hypoäolisch,—,—
desmal,—,—
schemenhaft,schemenhafter,am schemenhaftesten
unschicklich,unschicklicher,am unschicklichsten
phönizisch,—,—
handverlesen,—,—
neunmonatig,—,—
laubabwerfend,—,—
augenfällig,augenfälliger,am augenfälligsten
willkommen,willkommenerwillkommner,am willkommensten
reichsstädtisch,—,—
vorfristig,—,—
pueril,pueriler,am puerilsten
fantasiereich,fantasiereicher,am fantasiereichsten
gehemmt,gehemmter,am gehemmtesten
bedingt,bedingter,am bedingtesten
vibrationsfrei,—,—
zu,—,—
premium,—,—
jammerschade,—,—
glatzköpfig,glatzköpfiger,am glatzköpfigsten
gelähmt,—,—
kompetitiv,kompetitiver,am kompetitivsten
ausreisepflichtig,—,—
telegen,telegener,am telegensten
weißrussisch,—,—
republikfeindlich,—,—
irreversibel,—,—
grifffest,grifffester,am grifffestesten
lappländisch,—,—
emotionsarm,—,—
belebt,belebter,am belebtesten
kohlensäurehaltig,—,—
Vorarlberger,—,—
unbeanspruchbar,—,—
zeugungsfähig,zeugungsfähiger,am zeugungsfähigsten
psychiatrisch,—,—
momentan,—,—
achlamydeisch,—,—
idiosynkratisch,idiosynkratischer,am idiosynkratischsten
biegbar,—,—
fordernd,fordernder,am forderndsten
70-prozentig,—,—
V-förmig,—,—
paarig,—,—
siebenmonatlich,—,—
fundamentalistisch,fundamentalistischer,am fundamentalistischsten
maritim,—,—
drittletzte,—,—
anarchisch,—,—
hermetisch,hermetischer,am hermetischsten
mitteleuropäisch,mitteleuropäischer,am mitteleuropäischsten
schachmatt,—,—
unmoralisch,unmoralischer,am unmoralischsten
postfaktisch,—,—
schnurförmig,—,—
bearbeitbar,—,—
konzeptionell,—,—
umfassend,umfassender,am umfassendsten
gefahrenreich,gefahrenreicher,am gefahrenreichsten
feinwürzig,feinwürziger,am feinwürzigsten
einschaltbereit,—,—
kambodschanisch,kambodschanischer,am kambodschanischsten
archetypisch,archetypischer,am archetypischsten
tabakbraun,—,—
epikureisch,—,—
medienscheu,medienscheuer,am medienscheustenam medienscheuesten
altindisch,—,—
ungünstig,ungünstiger,am ungünstigsten
serpens,—,—
britannisch,—,—
intramural,—,—
gönnerisch,—,—
morphologisch,—,—
abgeschieden,abgeschiedenerabgeschiedner,am abgeschiedensten
libertär,—,—
staatsgefährdend,—,—
unerbittlich,unerbittlicher,am unerbittlichsten
detailgetreu,detailgetreuer,am detailgetreuestenam detailgetreusten
sechste,—,—
-,-,-
burschenschaftlich,burschenschaftlicher,am burschenschaftlichsten
allgegenwärtig,—,—
holprig,holpriger,am holprigsten
melaninhaltig,—,—
spitzbübisch,spitzbübischer,am spitzbübischsten
vernunftbegabt,vernunftbegabter,am vernunftbegabtesten
ungewünscht,—,—
hochherzig,hochherziger,am hochherzigsten
distinkt,distinkter,am distinktesten
interurban,—,—
nachmittäglich,—,—
leiblich,—,—
wohlabgewogen,—,—
transspezifisch,—,—
fieberkrank,—,—
edelsüß,—,—
kraftvoll,kraftvoller,am kraftvollsten
gewaltig,gewaltiger,am gewaltigsten
vulgär,vulgärer,am vulgärsten
systemweit,—,—
problematisch,problematischer,am problematischsten
erstrebt,erstrebter,am erstrebtesten
gesittet,gesitteter,am gesittetsten
kinskiesk,—,—
besorgniserregend,besorgniserregender,am besorgniserregendsten
gebührend,gebührender,am gebührendsten
aschkenasisch,—,—
komplett,—,—
beheizbar,—,—
undurchsichtig,undurchsichtiger,am undurchsichtigsten
übernächtigt,—,—
thalassogen,—,—
kalkulierbar,—,—
enigmatisch,enigmatischer,am enigmatischsten
gottgegeben,—,—
nationalbewusst,nationalbewusster,am nationalbewusstesten
L-förmig,—,—
stundenlang,—,—
unaufrichtig,unaufrichtiger,am unaufrichtigsten
exzessiv,exzessiver,am exzessivsten
absichtsvoll,absichtsvoller,am absichtsvollsten
monohybrid,—,—
schwindelfrei,schwindelfreier,am schwindelfreiesten
sinistrograd,—,—
formell,formeller,am formellsten
hektisch,hektischer,am hektischsten
durchwachsen,durchwachsenerdurchwachsner,am durchwachsensten
angrenzend,—,—
madegassisch,madegassischer,am madegassischsten
schmuddlig,schmuddliger,am schmuddligsten
aktenkundig,—,—
definit,definiter,am definitesten
orangefarben,—,—
soigniert,soignierter,am soigniertesten
freilaufend,—,—
drehbar,—,—
millionenfach,—,—
agrarisch,—,—
pimpelig,pimpeliger,am pimpeligsten
schweizweit,—,—
cremefarben,—,—
inchoativ,—,—
bivalent,—,—
lustgetrieben,—,—
anthrazitfarben,—,—
todgeweiht,—,—
rechtwinkelig,—,—
auftragsgemäß,—,—
eisig,eisiger,am eisigsten
kleinmütig,—,—
viermotorig,—,—
strandnah,strandnäher,am strandnächsten
undenkbar,undenkbarer,am undenkbarsten
profund,profunder,am profundesten
gepflegt,gepflegter,am gepflegtesten
begriffsgeschichtlich,—,—
exaltiert,exaltierter,am exaltiertesten
nichtlinear,—,—
kaffeebraun,—,—
außerbetrieblich,—,—
kursorisch,—,—
mäandrisch,—,—
lithophag,—,—
unvermindert,—,—
pervertiert,—,—
verwirrt,verwirrter,am verwirrtesten
dikotyl,—,—
homöostatisch,—,—
verkrustet,verkrusteter,am verkrustetsten
obrigkeitlich,—,—
zytologisch,—,—
institutionell,—,—
grundständig,grundständiger,am grundständigsten
bettreif,—,—
katalytisch,—,—
wortgetreu,wortgetreuer,am wortgetreuestenam wortgetreusten
realutopisch,—,—
weiterführend,—,—
potenzial,potenzialer,am potenzialsten
gewaltverherrlichend,—,—
erholungsbedürftig,erholungsbedürftiger,am erholungsbedürftigsten
baldig,baldiger,am baldigsten
vorteilhaft,vorteilhafter,am vorteilhaftesten
rötlich,rötlicher,am rötlichsten
prim,—,—
galvanisch,—,—
geriffelt,—,—
feinporig,feinporiger,am feinporigsten
beobachtbar,—,—
wütig,wütiger,am wütigsten
quabbelig,quabbeliger,am quabbeligsten
flippig,flippiger,am flippigsten
fünfsilbig,—,—
apfelgrün,—,—
the eina_,the einas_,
erfroren,—,—
krude,kruder,am krudesten
babyleicht,—,—
weidlich,—,—
rotgolden,—,—
postapokalyptisch,—,—
hinkünftig,—,—
breit,breiter,am breitesten
unwissbar,—,—
paroxysmal,—,—
inhomogen,inhomogener,am inhomogensten
chevaleresk,chevaleresker,am chevalereskesten
linksrekursiv,—,—
halbtrocken,—,—
dienstverpflichtet,—,—
meterdick,—,—
vertrauensselig,vertrauensseliger,am vertrauensseligsten
nussförmig,—,—
zweiunddreißigstel,—,—
unerlässlich,unerlässlicher,am unerlässlichsten
saudumm,—,—
unliebsam,unliebsamer,am unliebsamsten
schoflig,schofliger,am schofligsten
denkmalwert,—,—
iberisch,—,—
bombensicher,bombensicherer,am bombensichersten
mangelhaft,mangelhafter,am mangelhaftesten
androphil,—,—
herzig,herziger,am herzigsten
ursprünglich,ursprünglicher,am ursprünglichsten
siebförmig,—,—
1-minütig,—,—
bildschön,bildschöner,am bildschönsten
flächengroß,flächengrößer,am flächengrößten
dumpf,dumpfer,am dumpfesten
mixolydisch,—,—
achtjährlich,—,—
illyrisch,illyrischer,am illyrischsten
suborbital,—,—
unbefleckt,unbefleckter,am unbeflecktesten
zerknirscht,zerknirschter,am zerknirschtesten
geldgeil,geldgeiler,am geldgeilsten
fahlweiß,—,—
nephrotoxisch,—,—
ausgeschildert,—,—
grottenschlecht,—,—
landwirtschaftlich,—,—
tendenziell,—,—
weitschweifig,weitschweifiger,am weitschweifigsten
endoplasmatisch,—,—
gemütskrank,—,—
komisch,komischer,am komischsten
übergeordnet,—,—
neunzigjährig,—,—
kränkelnd,—,—
stockdunkel,—,—
unbeschwert,unbeschwerter,am unbeschwertesten
etepetete,—,—
knietief,—,—
beninisch,—,—
suffixal,—,—
torreich,torreicher,am torreichsten
jade,—,—
elfeckig,—,—
großräumig,großräumiger,am großräumigsten
antik,—,—
lokalisierbar,lokalisierbarer,am lokalisierbarsten
schwabbelig,schwabbeliger,am schwabbeligsten
cineastisch,—,—
adygeisch,—,—
minutenlang,—,—
sonderlich,sonderlicher,am sonderlichsten
frisiert,frisierter,am frisiertesten
heurig,—,—
dreispurig,—,—
klappbar,—,—
fettsüchtig,fettsüchtiger,am fettsüchtigsten
geadert,—,—
kosmologisch,—,—
basalten,—,—
wach,wacher,am wachsten
saftig,saftiger,am saftigsten
synsystematisch,—,—
programmiersprachenunabhängig,—,—
krebskrank,—,—
gestört,gestörter,am gestörtesten
betont,betonter,am betontesten
ehrfurchtsvoll,ehrfurchtsvoller,am ehrfurchtsvollsten
wohlgesonnen,—,—
rar,rarer,am rarestenam rarsten
transident,—,—
internetsüchtig,—,—
nadelförmig,—,—
bukettreich,bukettreicher,am bukettreichsten
gut gelaunt,besser gelaunt,am besten gelaunt
mehrstöckig,—,—
spielsüchtig,spielsüchtiger,am spielsüchtigsten
verregnend,—,—
oktaetrisch,—,—
äquatorialguineisch,—,—
alleinstehend,—,—
hochtourig,—,—
menschenähnlich,menschenähnlicher,am menschenähnlichsten
sechsjährlich,—,—
untunlich,untunlicher,am untunlichsten
perlokutionär,—,—
versiert,versierter,am versiertesten
nordmazedonisch,—,—
zweifach,—,—
induzierbar,induzierbarer,am induzierbarsten
haarsträubend,haarsträubender,am haarsträubendsten
narrensicher,narrensicherernarrensichrer,am narrensichersten
lethargisch,lethargischer,am lethargischsten
unzulänglich,unzulänglicher,am unzulänglichsten
patrologisch,—,—
omnipotent,—,—
ödipal,ödipaler,am ödipalsten
doppelt,—,—
histrionisch,—,—
außergesetzlich,—,—
warnwürdig,—,—
ritterlich,ritterlicher,am ritterlichsten
pollakanth,—,—
funzelig,funzeliger,am funzeligsten
beschaulich,beschaulicher,am beschaulichsten
klein,kleiner,am kleinsten
zahnlos,—,—
quellfähig,quellfähiger,am quellfähigsten
salzig,salziger,am salzigsten
geschlechtslos,—,—
essbar,essbarer,am essbarsten
überbordend,überbordender,am überbordendsten
kollegial,kollegialer,am kollegialsten
emphatisch,emphatischer,am emphatischsten
teleoklin,—,—
traditionalistisch,traditionalistischer,am traditionalistischsten
auskunftsfreudig,auskunftsfreudiger,am auskunftsfreudigsten
langlebig,langlebiger,am langlebigsten
neidlos,—,—
gelernt,—,—
fahrdynamisch,—,—
unbegrenzt,—,—
subkonszient,—,—
moderativ,moderativer,am moderativsten
achtbar,achtbarer,am achtbarsten
dunkelblond,—,—
anzweifelbar,—,—
fluchtbereit,—,—
siebzigjährig,—,—
soziokulturell,—,—
maliziös,maliziöser,am maliziösesten
anfänglich,—,—
bosnisch-herzegowinisch,—,—
demographisch,—,—
hüfthoch,—,—
schnurzegal,—,—
hexakisoktaedrisch,—,—
dreiunddreißigste,—,—
frikativ,—,—
sophistisch,sophistischer,am sophistischsten
orthotrop,—,—
adult,—,—
misslich,misslicher,am misslichsten
christologisch,—,—
schusslig,schussliger,am schussligsten
phonematisch,—,—
antischiitisch,—,—
lohfarben,lohfarbener,am lohfarbensten
elektronisch,—,—
groß angelegt,—,—
ausgeprägt,ausgeprägter,am ausgeprägtesten
jagdrechtlich,—,—
regierbar,—,—
torarm,torärmer,am torärmsten
knickerig,knickeriger,am knickerigsten
bemittelt,bemittelter,am bemitteltsten
eugenisch,—,—
befahrbar,—,—
preispolitisch,—,—
unbetretbar,—,—
stimmungsvoll,stimmungsvoller,am stimmungsvollsten
vestibulär,—,—
kuhhessig,—,—
jugendsprachlich,—,—
neuntägig,—,—
unumstritten,unumstrittener,am unumstrittensten
pergamenisch,—,—
hochzeitlich,—,—
äquivalent,—,—
verordnet,—,—
okzipital,—,—
mehrschichtig,—,—
gutartig,gutartiger,am gutartigsten
intermediär,—,—
bucklig,buckliger,am buckligsten
urchig,urchiger,am urchigsten
wohlbehütet,—,—
rasiermesserscharf,—,—
bestialisch,bestialischer,am bestialischsten
gesteinsbildend,—,—
prollig,prolliger,am prolligsten
wacklig,wackliger,am wackligsten
sachdienlich,sachdienlicher,am sachdienlichsten
kostenpflichtig,—,—
einzellig,—,—
fichten,—,—
gebieterisch,gebieterischer,am gebieterischsten
zartfühlend,zartfühlender,am zartfühlendsten
geschieden,—,—
erziehungswissenschaftlich,—,—
zahlungswirksam,—,—
quintessenziell,—,—
berühmt,berühmter,am berühmtesten
fettleibig,fettleibiger,am fettleibigsten
klapperig,klapperiger,am klapperigsten
aramäisch,aramäischer,am aramäischsten
fußballfeldgroß,—,—
polytoxikoman,—,—
wassergekühlt,—,—
risikolos,risikoloser,am risikolosesten
außersprachlich,—,—
erbärmlich,erbärmlicher,am erbärmlichsten
dornig,dorniger,am dornigsten
hochaktuell,hochaktueller,am hochaktuellsten
unzüchtig,unzüchtiger,am unzüchtigsten
pathogen,pathogener,am pathogensten
lenksam,lenksamer,am lenksamsten
brustlang,—,—
naschsüchtig,naschsüchtiger,am naschsüchtigsten
hacke,—,—
liebesfähig,liebesfähiger,am liebesfähigsten
induktiv,—,—
uneingeschränkt,—,—
zweijährig,—,—
versicherbar,—,—
nordöstlich,nordöstlicher,am nordöstlichsten
diakritisch,—,—
dekagrammweise,—,—
schneebehangen,—,—
unhämmerbar,—,—
samtig,samtiger,am samtigsten
angezogen,—,—
herablassend,herablassender,am herablassendsten
magistratisch,—,—
heimelig,heimeliger,am heimeligsten
durchstimmbar,—,—
fortlaufend,—,—
biometrisch,—,—
simultan,—,—
vegetarisch,—,—
abträglich,abträglicher,am abträglichsten
inakzeptabel,inakzeptabler,am inakzeptabelsten
mongoloid,—,—
extrinsisch,—,—
zeitaufwendig,zeitaufwendiger,am zeitaufwendigsten
unaufführbar,—,—
stutzig,—,—
kühn,kühner,am kühnsten
grenadisch,—,—
naua,—,—
entfernt,entfernter,am entferntesten
gradlinig,gradliniger,am gradlinigsten
Kairener,—,—
weltverloren,weltverlorener,am weltverlorensten
theriophor,—,—
überschuldet,—,—
konfirmatorisch,—,—
behelmt,—,—
genussvoll,genussvoller,am genussvollsten
außengelegen,—,—
kunsthistorisch,—,—
nichtstaatlich,—,—
geozentrisch,—,—
evangelisch,—,—
überwuzelt,—,—
unbrechbar,—,—
strebig,—,—
Kleinseitner,—,—
ekel,ekler,am ekelsten
todsicher,—,—
lutherisch,lutherischer,am lutherischsten
ansprechend,ansprechender,am ansprechendsten
bitterkalt,—,—
cyberkriminell,—,—
indiskutabel,indiskutabler,am indiskutabelsten
schwenkbar,—,—
migrantisch,—,—
ahistorisch,ahistorischer,am ahistorischsten
dottergelb,—,—
freitäglich,—,—
skrupulös,skrupulöser,am skrupulösesten
galicisch,—,—
prestigeträchtig,prestigeträchtiger,am prestigeträchtigsten
superstitiös,superstitiöser,am superstitiösesten
vorsichtig,vorsichtiger,am vorsichtigsten
rückwärtig,—,—
bakteriologisch,—,—
Gewinn bringend,Gewinn bringender,am Gewinn bringendsten
kriegswirtschaftlich,—,—
eristisch,eristischer,am eristischsten
tribal,—,—
wund,wunder,am wundesten
realitätsfern,realitätsferner,am realitätsfernsten
eilfertig,eilfertiger,am eilfertigsten
bewegbar,—,—
kategorisch,—,—
grundgesetzlich,—,—
mütterlich,mütterlicher,am mütterlichsten
intellektuell,intellektueller,am intellektuellsten
zyprisch,—,—
verlustbehaftet,—,—
obligatorisch,—,—
spannungsarm,spannungsärmer,am spannungsärmsten
meteorologisch,—,—
diesig,diesiger,am diesigsten
alaunhaltig,—,—
homonom,—,—
unverkennbar,unverkennbarer,am unverkennbarsten
pflanzlich,pflanzlicher,am pflanzlichsten
seelenlos,seelenloser,am seelenlosesten
myotrop,—,—
zweite,—,—
vertraut,vertrauter,am vertrautesten
nullachtfünfzehn,—,—
mickrig,mickriger,am mickrigsten
halbkugelförmig,—,—
injektiv,—,—
chiral,—,—
pharmakologisch,—,—
unwegsam,unwegsamer,am unwegsamsten
parthenogenetisch,—,—
hilflos,hilfloser,am hilflosesten
pornös,pornöser,am pornösesten
wehmütig,wehmütiger,am wehmütigsten
rotzfrech,—,—
kroatisch,kroatischer,am kroatischsten
azetonämisch,—,—
einfarbig,—,—
flektierbar,—,—
fühnsch,—,—
rechtsextrem,rechtsextremer,am rechtsextremsten
x-fach,—,—
pyramidenförmig,—,—
beredsam,beredsamer,am beredsamsten
gerissen,gerissenergerissner,am gerissensten
geschwindigkeitsunabhängig,—,—
szintigraphisch,—,—
xylografisch,—,—
quasistatisch,—,—
fernmündlich,—,—
beschreibbar,—,—
arbeitsunwillig,—,—
förmlich,förmlicher,am förmlichsten
polizeibekannt,polizeibekannter,am polizeibekanntesten
warmblütig,—,—
riesenhaft,riesenhafter,am riesenhaftesten
epigenetisch,—,—
axiomatisch,—,—
hochgelobt,—,—
ungeübt,ungeübter,am ungeübtesten
sprachwissenschaftlich,—,—
unzivilisiert,unzivilisierter,am unzivilisiertesten
brieflich,—,—
lexikographisch,—,—
halbautomatisch,—,—
infinit,—,—
zweiachsig,—,—
unentschuldbar,—,—
verschnupft,verschnupfter,am verschnupftesten
nordatlantisch,—,—
alphanummerisch,—,—
deutschschweizerisch,—,—
untertänig,untertäniger,am untertänigsten
penetrant,penetranter,am penetrantesten
abgezockt,abgezockter,am abgezocktesten
holzhaltig,—,—
à point,—,—
vermeidlich,vermeidlicher,am vermeidlichsten
offline,—,—
hochrot,hochröterhochroter,am hochrötestenam hochrotesten
gymnastisch,—,—
interplanetarisch,—,—
shintoistisch,—,—
wissenschaftshistorisch,—,—
ramponiert,ramponierter,am ramponiertesten
arisch,—,—
betreten,betretener,am betretensten
gesundheitswissenschaftlich,—,—
proeuropäisch,proeuropäischer,am proeuropäischsten
vulkanistisch,—,—
-,-,-
gesichert,gesicherter,am gesichertsten
baumreich,baumreicher,am baumreichsten
gebürtig,—,—
unabsetzbar,—,—
dringend,dringender,am dringendsten
fränkisch,fränkischer,am fränkischsten
ostatlantisch,—,—
somnambul,—,—
posthum,—,—
unplatziert,unplatzierter,am unplatziertesten
scharlachrot,—,—
mittelaltrig,—,—
actionreich,actionreicher,am actionreichsten
coffeinarm,—,—
phytotoxisch,—,—
schulbuchmäßig,—,—
ludisch,—,—
90-prozentig,—,—
antiferromagnetisch,—,—
ausdrucksstark,ausdrucksstärker,am ausdrucksstärksten
elftägig,—,—
tollwütig,—,—
reichhaltig,reichhaltiger,am reichhaltigsten
pulverartig,—,—
zielgerichtet,—,—
vorgelagert,vorgelagerter,am vorgelagertesten
knäblich,—,—
bedienbar,—,—
euryhygr,—,—
unbeschreibbar,—,—
prioritär,—,—
vielversprechend,vielversprechender,am vielversprechendsten
stichwortartig,—,—
kundenspezifisch,—,—
neurologisch,—,—
jiddisch,—,—
ölreich,ölreicher,am ölreichsten
kommun,kommuner,am kommunsten
endsunterschrieben,—,—
technikutopisch,—,—
reisefähig,reisefähiger,am reisefähigsten
wirtschaftswissenschaftlich,—,—
laryngeal,—,—
nerval,—,—
faltenfrei,—,—
kohlehaltig,—,—
unbedacht,unbedachter,am unbedachtesten
stämmig,stämmiger,am stämmigsten
abwechslungslos,—,—
monarchistisch,monarchistischer,am monarchistischsten
durchgebraten,—,—
flüchtlingsfeindlich,—,—
siebenstöckig,—,—
ostseitig,—,—
verhaltensgestört,verhaltensgestörter,am verhaltensgestörtesten
anbetenswert,anbetenswerter,am anbetenswertesten
mannhaft,mannhafter,am mannhaftesten
fuldisch,—,—
denotativ,—,—
mittelrheinisch,—,—
schneereich,schneereicher,am schneereichsten
zweimonatlich,—,—
versöhnbar,—,—
nosokomial,—,—
halin,—,—
inländisch,—,—
sekundenschnell,—,—
unveränderbar,—,—
pardonabel,pardonabler,am pardonabelsten
hinreißend,hinreißender,am hinreißendsten
polyvalent,—,—
wasserlöslich,wasserlöslicher,am wasserlöslichsten
rostfrei,—,—
Bad Breisiger,—,—
bibliophil,bibliophiler,am bibliophilsten
fünfstündlich,—,—
tränenreich,tränenreicher,am tränenreichsten
wöchentlich,—,—
punitiv,—,—
auberginefarben,—,—
bernsteinen,—,—
geräuscharm,geräuschärmer,am geräuschärmsten
keimtötend,—,—
gargantuesk,—,—
prachtvoll,prachtvoller,am prachtvollsten
vorhersehbar,—,—
römisch,—,—
sybaritisch,sybaritischer,am sybaritischsten
bangladeschisch,—,—
kreuzfidel,—,—
gewölbt,gewölbter,am gewölbtesten
tausendstel,—,—
wolkenverhangen,—,—
rauch,raucher,am rauchsten
troisch,—,—
bezastert,bezasterter,am bezastertsten
grüngelb,—,—
interkontinental,—,—
mönchisch,mönchischer,am mönchischsten
zwölfprozentig,—,—
sperrangelweit,—,—
verkehrt,verkehrter,am verkehrtesten
oberdeutsch,—,—
amphoter,—,—
aliphatisch,—,—
hormonhaltig,—,—
messbar,messbarer,am messbarsten
unfreiwillig,unfreiwilliger,am unfreiwilligsten
stereotyp,—,—
seidig,seidiger,am seidigsten
unverbindlich,unverbindlicher,am unverbindlichsten
persönlich,persönlicher,am persönlichsten
rhetorisch,rhetorischer,am rhetorischsten
westjiddisch,—,—
kurzfristig,kurzfristiger,am kurzfristigsten
enzymatisch,—,—
niederträchtig,niederträchtiger,am niederträchtigsten
existentiell,existentieller,am existentiellsten
unbewegbar,—,—
straffrei,—,—
klumpig,klumpiger,am klumpigsten
elegisch,elegischer,am elegischsten
papulös,—,—
verbesserungswürdig,verbesserungswürdiger,am verbesserungswürdigsten
anomisch,anomischer,am anomischsten
läufig,läufiger,am läufigsten
dörflich,dörflicher,am dörflichsten
darstellbar,darstellbarer,am darstellbarsten
schwarzrotgolden,—,—
afrikanisch,afrikanischer,am afrikanischsten
mimetisch,mimetischer,am mimetischsten
dreifach,—,—
freundlich,freundlicher,am freundlichsten
sittlich,sittlicher,am sittlichsten
demilitarisiert,—,—
unkalkulierbar,—,—
schmerzunempfindlich,schmerzunempfindlicher,am schmerzunempfindlichsten
sarazenisch,—,—
malawisch,—,—
angelegentlich,angelegentlicher,am angelegentlichsten
hellfarben,—,—
dysenterisch,—,—
binational,—,—
fraktionslos,—,—
verachtenswert,verachtenswerter,am verachtenswertesten
silbentragend,—,—
plemplem,—,—
unterhaltsam,unterhaltsamer,am unterhaltsamsten
schleunig,schleuniger,am schleunigsten
monophyletisch,—,—
abschätzig,abschätziger,am abschätzigsten
imperativisch,—,—
fachkundig,fachkundiger,am fachkundigsten
unangebracht,unangebrachter,am unangebrachtesten
zelluloid,—,—
stufenlos,—,—
grauenvoll,grauenvoller,am grauenvollsten
laienhaft,laienhafter,am laienhaftesten
negativ,negativer,am negativsten
entsagungsreich,entsagungsreicher,am entsagungsreichsten
teuflisch,teuflischer,am teuflischsten
wertstabil,wertstabiler,am wertstabilsten
übermäßig,übermäßiger,am übermäßigsten
prophylaktisch,—,—
zuzahlungspflichtig,—,—
viertürig,—,—
genetisch,—,—
konkomitant,—,—
gerädert,geräderter,am gerädertestenam gerädertsten
beringt,—,—
fehlerlos,—,—
atombetrieben,—,—
wärmeisolierend,wärmeisolierender,am wärmeisolierendsten
purulent,—,—
trüb,trüber,am trübsten
fünfzehnminütig,—,—
