speaker,party,unique_speaker
Abgeordneter MMMag. Dr. Axel Kassegger (FPÖ),FPÖ,Abgeordneter MMMag. Dr. Axel Kassegger
Bundesminister für europäische und internationale Angelegenheiten Mag. Alexander,ÖVP,"Mag. Alexander Schallenberg, LL.M."
Abgeordnete Mag. Ruth Becher,SPÖ,Abgeordnete Mag. Ruth Becher
Abgeordneter Mag. Dr. Martin Graf,FPÖ,Abgeordneter Mag. Dr. Martin Graf
Abgeordneter Robert Laimer,SPÖ,Abgeordneter Robert Laimer
Abgeordneter Hans Stefan Hintner,ÖVP,Abgeordneter Hans Stefan Hintner
Abgeordneter Dr. Reinhold Lopatka (ÖVP),ÖVP,Abgeordneter Dr. Reinhold Lopatka
Abgeordneter Dr. Harald Troch,SPÖ,Abgeordneter Dr. Harald Troch
Abgeordneter Philip Kucher,SPÖ,Abgeordneter Philip Kucher
Abgeordneter Dr. Reinhard Eugen Bösch,FPÖ,Abgeordneter Dr. Reinhard Eugen Bösch
Abgeordneter Douglas Hoyos-Trauttmansdorff,NEOS,Abgeordneter Douglas Hoyos-Trauttmansdorff
Bundesministerin für Landesverteidigung Mag. Klaudia Tanner,ÖVP,Bundesministerin für Landesverteidigung Mag. Klaudia Tanner
Abgeordneter Ing. Manfred Hofinger,ÖVP,Abgeordneter Ing. Manfred Hofinger
Abgeordneter Johann Höfinger (ÖVP),ÖVP,Abgeordneter Johann Höfinger
Abgeordneter Walter Rauch (FPÖ),FPÖ,Abgeordneter Walter Rauch
Abgeordneter Lukas Hammer (Grüne),Grüne,Abgeordneter Lukas Hammer
"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA (ÖVP)",ÖVP,"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA"
Abgeordneter Erwin Angerer,FPÖ,Abgeordneter Erwin Angerer
Abgeordneter Yannick Shetty (NEOS),NEOS,Abgeordneter Mag. Yannick Shetty
"Abgeordneter Michel Reimon, MBA (Grüne)",Grüne,"Abgeordneter Michel Reimon, MBA"
"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU) (NEOS)",NEOS,"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU)"
Abgeordnete Petra Steger (FPÖ),FPÖ,Abgeordnete Petra Steger
Mitglied des Europäischen Parlaments Dr. Angelika Winzig (ÖVP),ÖVP,Mitglied des Europäischen Parlaments Dr. Angelika Winzig
Mitglied des Europäischen Parlaments Mag. Dr. Günther Sidl (SPÖ),SPÖ,Mitglied des Europäischen Parlaments Mag. Dr. Günther Sidl (SPÖ)
Mitglied des Europäischen Parlaments Dr. Monika Vana,Grüne,Mitglied des Europäischen Parlaments Dr. Monika Vana
Abgeordneter Christoph Stark,ÖVP,Abgeordneter Christoph Stark
Abgeordnete Mag. Karin Greiner,SPÖ,Abgeordnete Mag. Karin Greiner
Abgeordneter Christoph Zarits (ÖVP),ÖVP,Abgeordneter Christoph Zarits
Abgeordneter Klaus Köchl,SPÖ,Abgeordneter Klaus Köchl
Abgeordnete Mag. Agnes Sirkka Prammer (Grüne),Grüne,Abgeordnete Mag. Agnes Sirkka Prammer
"Bundesministerin für Justiz Dr. Alma Zadić, LL.M.",Grüne,"Dr. Alma Zadić, LL.M."
Abgeordneter Dietmar Keck (SPÖ),SPÖ,Abgeordneter Dietmar Keck
Abgeordnete Mag. Verena Nussbaum (SPÖ),SPÖ,Abgeordnete Mag. Verena Nussbaum
Abgeordneter Peter Schmiedlechner (FPÖ),FPÖ,Abgeordneter Peter Schmiedlechner
Abgeordnete Dipl.-Ing. Olga Voglauer,Grüne,Abgeordnete Dipl.-Ing. Olga Voglauer
Abgeordneter Franz Leonhard Eßl,ÖVP,Abgeordneter Franz Leonhard Eßl
Abgeordneter Clemens Stammler,Grüne,Abgeordneter Clemens Stammler
Abgeordneter Ing. Josef Hechenberger,ÖVP,Abgeordneter Ing. Josef Hechenberger
Abgeordneter Ing. Markus Vogl,SPÖ,Abgeordneter Ing. Markus Vogl
Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete,ÖVP,Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck
"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA",ÖVP,"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA"
Abgeordnete Dr. Elisabeth Götze (Grüne),Grüne,Abgeordnete Dr. Elisabeth Götze
Abgeordneter Nico Marchetti,ÖVP,Abgeordneter Nico Marchetti
Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ),SPÖ,Abgeordnete Mag. Dr. Petra Oberrauner
Abgeordneter Lukas Hammer,Grüne,Abgeordneter Lukas Hammer
